order_id,customer_state,distance_km,seller_delay_d,freight_value,order_value
121,MG,86.4,1,7.59,68.78
122,BA,135.5,6,47.31,81.81
123,MG,235.6,1,57.39,112.87
124,BA,365.1,2,18.51,41.74
125,MG,275.5,0,17.24,88.48
126,BA,349.4,2,17.82,228.9
127,RS,150.0,3,3.64,126.64
128,SP,868.1,1,9.37,84.12
129,MG,204.4,1,55.91,128.97
130,MG,83.9,3,39.92,48.21
131,RJ,249.1,1,4.5,110.17
132,RJ,626.1,2,5.98,94.48
133,SP,131.7,5,19.21,106.47
134,MG,343.9,1,44.2,50.89
135,RS,317.7,1,23.66,149.38
136,SP,558.1,1,7.96,44.64
137,MG,294.7,0,10.6,341.6
138,RS,397.9,2,13.41,72.54
139,RS,291.8,1,12.03,84.26
140,RJ,323.4,0,42.57,49.91
141,SP,135.1,2,19.06,96.02
142,BA,116.7,2,32.82,197.75
143,SP,280.2,0,14.83,317.46
144,RJ,243.1,0,11.07,106.93
145,MG,265.7,1,3.54,261.29
146,RS,479.6,1,5.4,221.81
147,SP,101.2,2,18.32,120.88
148,BA,238.2,5,12.62,34.63
149,MG,455.8,1,7.5,167.46
150,SP,104.0,1,12.37,164.79
151,RS,131.0,1,9.02,86.7
152,RS,62.4,0,22.79,200.43
153,MG,348.1,1,22.09,94.82
154,RS,314.4,1,7.45,80.84
155,BA,83.5,0,14.31,76.74
156,RS,453.6,0,15.23,122.43
157,RS,179.0,1,11.56,136.6
158,MG,195.5,2,2.53,68.26
159,RJ,318.3,1,29.04,405.35
160,SP,377.0,3,44.34,136.56
161,MG,127.1,2,22.95,135.0
162,SP,280.0,0,10.22,177.51
163,BA,228.8,0,28.52,202.89
164,RS,519.4,1,30.11,45.34
165,RJ,148.6,3,8.44,179.27
166,MG,515.3,3,5.68,168.98
167,SP,64.3,1,13.24,228.95
168,SP,341.8,0,48.45,217.01
169,RJ,548.5,2,12.16,134.75
170,RS,354.1,3,14.15,73.88
171,RS,491.7,1,18.05,262.92
172,BA,425.6,2,7.44,15.43
173,MG,86.7,1,28.72,166.3
174,MG,161.4,3,12.2,327.61
175,SP,463.2,0,19.12,199.06
176,RJ,282.4,1,21.73,134.25
177,RS,223.0,1,5.14,196.52
178,MG,523.4,3,29.49,235.65
179,RJ,319.4,3,9.73,295.7
180,RJ,49.2,1,36.88,78.0
181,BA,110.5,1,0.87,111.31
182,SP,254.5,1,4.76,42.13
183,RS,187.3,1,31.37,108.78
184,RS,124.8,1,19.33,3.89
185,MG,208.0,1,23.29,195.75
186,MG,182.3,1,3.97,79.52
187,BA,237.3,1,1.91,17.0
188,MG,227.9,0,20.63,194.8
189,MG,193.4,2,19.4,181.05
190,RJ,177.9,2,33.47,100.62
191,MG,240.0,2,13.56,136.79
192,BA,215.8,3,17.46,203.5
193,SP,238.7,1,24.76,80.25
194,SP,232.5,0,5.14,50.5
195,BA,137.5,2,14.22,234.79
196,RJ,269.4,2,19.78,27.34
197,RS,115.4,2,25.34,70.09
198,SP,325.7,1,9.05,294.19
199,RS,583.8,1,10.25,177.67
200,SP,224.9,0,8.05,89.45
201,MG,250.4,1,2.82,62.8
202,RS,728.6,0,22.43,57.67
203,SP,225.9,0,22.16,105.18
204,BA,114.6,0,18.05,105.05
205,BA,301.4,2,9.85,74.95
206,MG,131.2,2,1.33,90.0
207,SP,350.4,1,14.65,173.64
208,MG,103.1,0,3.65,173.01
209,MG,256.2,2,2.38,99.04
210,RS,283.2,1,27.08,100.75
211,BA,447.7,2,17.67,130.44
212,RJ,305.1,2,6.18,159.36
213,SP,112.1,4,41.19,65.14
214,MG,273.9,0,27.13,7.15
215,RJ,254.6,1,11.24,152.66
216,BA,543.5,1,6.83,239.57
217,RS,187.2,1,22.86,45.43
218,RJ,207.2,2,9.32,21.69
219,RS,309.8,0,7.52,152.96
220,MG,208.6,1,3.94,112.99
221,MG,121.0,3,12.85,44.22
222,BA,149.6,0,31.74,77.33
223,BA,259.6,2,22.69,181.16
224,RS,237.5,0,11.56,181.67
225,RS,128.4,1,30.78,28.01
226,SP,208.5,1,32.65,25.79
227,MG,250.7,3,19.07,199.81
228,RS,48.7,2,21.59,253.89
229,RJ,80.5,1,46.4,112.33
230,SP,51.1,2,40.44,100.84
231,MG,68.5,0,15.13,120.73
232,BA,270.6,0,21.57,201.39
233,BA,257.1,0,21.95,149.15
234,RS,60.8,1,12.05,300.16
235,BA,351.2,0,3.97,109.06
236,SP,406.6,1,41.49,42.38
237,RS,241.0,2,11.76,127.92
238,MG,294.1,1,13.96,203.37
239,RS,297.3,0,30.04,295.19
240,RS,160.1,1,1.74,119.54
241,RS,525.9,1,10.48,34.06
242,SP,129.3,3,8.59,256.74
243,RS,182.6,3,12.55,84.72
244,BA,33.2,1,27.2,236.25
245,MG,360.7,0,11.75,88.54
246,BA,157.2,0,27.8,173.45
247,RS,568.0,4,59.96,141.25
248,MG,74.7,1,27.83,97.14
249,SP,540.8,1,0.3,183.84
250,BA,39.5,0,14.34,185.54
251,RJ,212.0,0,15.52,26.31
252,RJ,233.7,1,11.49,153.95
253,SP,179.5,0,30.15,110.32
254,SP,518.6,6,27.83,48.21
255,RS,127.0,1,4.37,295.6
256,RJ,190.0,0,8.53,113.14
257,SP,240.7,1,45.03,83.76
258,SP,226.0,4,32.44,217.22
259,RJ,197.3,1,1.85,409.62
260,RJ,292.5,2,8.71,78.27
261,RJ,199.9,1,6.17,33.39
262,RS,487.6,3,10.22,102.96
263,RS,140.6,3,6.05,77.44
264,MG,224.2,2,14.86,85.64
265,RS,304.8,2,19.36,184.57
266,RJ,322.4,1,21.39,155.89
267,SP,496.8,1,32.1,283.63
268,RJ,164.5,3,9.83,246.86
269,SP,394.5,1,9.55,96.82
270,RS,226.4,1,28.14,116.4
271,RJ,58.9,1,8.58,48.81
272,MG,372.1,1,3.56,102.81
273,RJ,96.2,1,6.72,167.56
274,RS,169.7,1,39.17,69.68
275,SP,306.6,2,8.62,291.87
276,MG,163.2,1,12.32,178.77
277,RS,128.9,0,2.02,159.78
278,MG,310.2,0,16.0,60.94
279,RS,401.0,1,24.68,113.21
280,RS,158.3,0,23.39,162.97
281,BA,187.1,2,32.18,150.05
282,BA,289.4,2,13.64,85.71
283,MG,240.3,3,8.16,40.86
284,MG,197.6,3,21.6,146.97
285,RS,590.1,0,11.4,122.05
286,MG,192.1,2,20.99,77.32
287,RS,130.1,0,6.69,110.9
288,RS,181.4,1,24.33,97.69
289,RJ,284.9,2,35.02,115.96
290,MG,147.5,0,9.28,317.88
291,BA,124.1,2,12.2,202.96
292,RS,78.9,1,13.85,98.6
293,SP,656.1,0,26.94,92.87
294,SP,315.5,1,8.32,44.01
295,RJ,105.5,0,3.29,309.19
296,MG,304.8,2,17.12,64.3
297,SP,293.8,2,9.38,123.28
298,MG,434.0,0,7.94,75.71
299,MG,123.3,1,15.69,122.47
300,RS,434.4,0,30.21,145.18
301,BA,358.9,4,10.93,52.48
302,RJ,106.1,1,51.92,228.97
303,BA,255.1,1,14.12,207.94
304,RS,261.5,0,15.48,207.53
305,BA,275.1,1,23.06,134.79
306,BA,44.2,3,24.56,190.09
307,RJ,265.0,1,6.44,190.97
308,BA,182.4,2,7.63,60.1
309,SP,361.3,0,27.62,238.71
310,BA,258.6,2,1.64,93.82
311,RS,159.9,3,23.45,141.7
312,RS,120.5,1,29.05,48.55
313,RJ,194.8,1,14.64,71.63
314,RJ,269.2,0,13.56,126.52
315,BA,221.2,4,13.01,61.4
316,RJ,88.0,1,32.69,121.17
317,BA,518.8,2,36.77,75.53
318,RJ,364.7,1,1.67,177.24
319,SP,238.6,0,10.0,158.21
320,SP,257.9,5,33.12,60.04
321,MG,313.8,1,8.44,109.13
322,RJ,263.4,2,17.38,32.23
323,RJ,203.6,1,25.64,157.61
324,RS,420.0,0,0.7,213.46
325,RS,209.4,1,72.57,67.07
326,RS,193.2,1,19.55,49.85
327,MG,237.4,1,5.82,52.72
328,SP,217.2,0,22.07,155.17
329,BA,255.0,2,9.28,249.52
330,BA,1064.5,0,18.13,70.5
331,RS,169.4,3,13.58,200.08
332,MG,300.4,1,12.76,96.43
333,SP,372.3,2,20.0,84.46
334,MG,85.1,2,16.56,172.05
335,MG,197.4,1,14.43,170.2
336,BA,81.4,2,3.7,77.06
337,RJ,148.2,1,16.76,64.87
338,RJ,83.5,2,27.56,335.03
339,SP,258.7,0,30.34,212.0
340,RS,159.4,4,17.84,197.07
341,BA,399.6,0,12.57,217.85
342,MG,193.0,3,33.68,261.03
343,RJ,182.0,2,26.02,72.67
344,BA,158.7,2,6.01,62.49
345,MG,136.0,1,13.89,215.52
346,BA,400.8,2,14.54,89.86
347,SP,92.9,2,28.17,111.42
348,SP,436.2,1,16.2,74.07
349,BA,204.1,3,35.16,98.17
350,SP,98.8,0,66.52,246.36
351,BA,242.7,0,2.45,41.36
352,MG,154.3,2,22.34,122.69
353,SP,150.6,3,3.83,387.05
354,BA,447.2,2,3.0,228.05
355,BA,324.2,2,17.34,378.51
356,RS,21.5,2,26.9,179.64
357,RS,201.9,1,26.06,185.32
358,BA,200.7,0,19.07,185.99
359,RS,169.2,1,4.61,187.32
360,SP,514.4,2,13.38,214.44
361,RS,130.2,1,37.99,210.08
362,RS,132.3,2,55.4,211.35
363,BA,247.5,1,28.98,59.03
364,RS,415.7,1,12.92,49.8
365,BA,84.9,0,16.35,23.91
366,RS,201.0,1,13.18,74.17
367,RS,188.3,0,7.94,112.61
368,MG,321.6,1,17.88,173.88
369,RS,698.6,0,20.29,160.4
370,RS,357.4,2,8.07,146.63
371,RJ,171.3,0,2.81,218.2
372,SP,137.4,2,51.67,21.84
373,SP,26.6,2,24.18,144.14
374,SP,235.8,1,16.92,218.94
375,MG,369.7,1,19.44,142.9
376,SP,332.9,0,19.17,120.01
377,RJ,161.9,3,28.39,64.75
378,RJ,519.0,1,16.06,58.72
379,BA,105.4,0,30.55,122.8
380,RJ,408.4,2,13.04,16.03
381,RS,300.7,2,18.78,65.97
382,SP,158.0,1,20.2,300.66
383,RS,402.2,1,8.13,16.54
384,MG,110.0,1,36.67,110.35
385,RJ,127.6,2,11.66,171.82
386,SP,277.5,0,8.13,59.53
387,RJ,598.5,3,20.16,117.66
388,MG,373.1,0,19.47,110.77
389,SP,151.6,2,21.21,69.54
390,SP,543.5,3,55.71,141.13
391,SP,766.9,0,13.97,286.1
392,BA,271.1,0,14.63,113.56
393,SP,242.8,1,1.98,169.06
394,SP,116.6,3,4.49,78.95
395,MG,114.4,1,13.84,84.11
396,RJ,86.0,4,12.2,144.47
397,MG,118.3,0,25.13,46.07
398,RS,74.0,2,24.44,80.83
399,RS,187.9,3,4.57,45.49
400,MG,140.0,1,17.21,151.97
401,BA,176.3,1,15.88,66.4
402,RS,288.2,1,30.16,52.22
403,MG,111.2,1,9.74,36.13
404,BA,141.0,1,7.3,37.03
405,RJ,241.0,6,8.41,21.59
406,BA,759.2,2,9.72,44.44
407,RJ,365.7,1,3.22,162.34
408,SP,50.8,2,27.16,120.31
409,BA,332.5,1,18.6,35.17
410,MG,300.9,1,21.1,167.84
411,RJ,189.4,2,8.29,108.53
412,SP,20.8,2,16.3,116.82
413,RJ,127.8,2,26.22,121.99
414,RS,275.7,2,14.72,260.05
415,MG,593.0,2,29.68,16.85
416,RS,387.5,1,17.42,296.05
417,RS,185.0,0,9.27,132.11
418,RS,184.1,3,25.97,432.13
419,SP,309.7,1,39.74,152.96
420,SP,297.8,0,36.45,63.56
421,MG,484.1,0,10.59,123.62
422,RJ,20.6,2,30.39,106.68
423,RS,231.7,1,24.58,120.87
424,RJ,198.5,2,12.9,245.91
425,SP,155.2,2,9.99,173.99
426,SP,180.0,1,23.05,107.76
427,RJ,146.6,2,12.6,66.2
428,BA,135.8,0,16.19,80.85
429,SP,68.3,2,13.66,219.41
430,BA,151.0,5,18.86,183.11
431,RJ,299.2,2,9.87,80.11
432,RJ,428.6,1,18.45,278.99
433,BA,216.4,1,13.89,130.48
434,RS,580.6,2,8.33,424.03
435,MG,508.8,4,31.23,140.93
436,BA,47.2,0,62.24,195.9
437,RJ,253.9,2,9.75,166.47
438,SP,248.2,1,24.3,39.42
439,RS,327.2,1,9.56,100.05
440,BA,437.8,2,45.38,178.9
441,BA,177.7,2,26.76,60.42
442,RS,402.3,2,51.44,210.76
443,MG,57.5,1,21.12,230.42
444,SP,328.2,0,12.82,33.86
445,MG,99.5,1,26.22,117.71
446,MG,98.8,0,4.79,49.08
447,RJ,381.7,2,1.76,111.4
448,BA,147.7,3,14.91,129.81
449,RJ,331.0,0,42.51,181.68
450,BA,218.8,2,8.66,103.41
451,BA,271.4,2,12.26,349.8
452,SP,181.6,2,33.68,85.0
453,MG,65.9,3,13.25,62.77
454,BA,461.3,1,36.62,82.02
455,SP,462.3,1,21.65,318.18
456,BA,247.9,1,28.58,127.29
457,RS,217.2,2,24.56,156.07
458,RS,142.1,1,14.22,47.38
459,BA,122.5,1,12.48,216.96
460,RS,119.9,0,5.11,95.78
461,RJ,89.5,2,7.8,98.84
462,RJ,211.8,2,8.98,140.98
463,SP,453.6,3,18.17,145.85
464,BA,173.2,1,41.34,57.62
465,RJ,301.1,0,3.76,117.58
466,RS,311.0,0,19.6,141.44
467,MG,142.0,1,20.16,17.91
468,RS,341.2,1,11.62,188.05
469,SP,221.8,7,14.88,133.22
470,SP,513.0,0,5.0,161.14
471,RJ,478.9,2,11.79,44.34
472,SP,197.7,2,38.7,163.69
473,MG,198.4,0,6.33,107.06
474,BA,573.9,2,63.99,105.69
475,BA,124.2,3,15.68,106.44
476,RJ,623.5,0,5.63,269.36
477,SP,470.3,3,14.67,176.32
478,MG,174.8,2,0.33,119.67
479,BA,219.5,3,15.23,145.13
480,RS,383.9,0,58.15,80.1
481,RS,107.1,1,2.52,111.51
482,RJ,120.2,1,4.82,92.18
483,SP,385.0,1,14.81,25.11
484,RJ,283.9,0,6.16,316.53
485,RS,297.3,0,42.54,63.6
486,MG,850.1,2,5.75,159.74
487,RS,268.8,2,17.31,46.24
488,BA,176.3,1,20.37,233.94
489,MG,415.1,1,6.95,301.48
490,SP,332.6,2,6.48,103.79
491,MG,173.6,1,7.34,265.03
492,RJ,123.6,0,2.41,106.94
493,RS,304.8,3,13.56,52.64
494,SP,181.0,2,9.72,177.46
495,SP,138.7,2,21.41,68.9
496,BA,153.2,1,19.34,31.58
497,BA,492.2,4,22.0,86.57
498,RS,210.0,2,16.89,83.78
499,MG,270.6,2,12.93,230.58
500,RJ,84.0,0,7.99,19.03
501,RJ,93.3,2,15.85,172.55
502,RJ,61.5,3,22.7,224.16
503,BA,248.7,2,8.5,82.73
504,MG,153.7,2,16.4,118.92
505,RJ,44.6,3,17.97,105.75
506,RJ,732.3,2,5.64,52.63
507,BA,242.5,2,4.18,148.86
508,RJ,139.4,4,37.36,113.09
509,RJ,410.8,0,3.24,53.74
510,RJ,298.8,3,15.45,187.18
511,RS,289.4,0,10.69,224.07
512,MG,523.7,2,17.1,99.2
513,MG,205.9,1,3.61,30.91
514,SP,361.3,1,27.63,164.65
515,RJ,128.9,3,36.26,219.67
516,BA,108.3,1,35.84,72.07
517,BA,115.1,1,6.33,86.11
518,MG,273.9,1,15.54,112.15
519,RS,237.3,1,35.25,58.08
520,RJ,168.0,1,13.92,138.72
521,SP,297.5,3,6.36,168.82
522,SP,433.2,0,2.5,176.27
523,SP,87.7,0,16.91,41.74
524,BA,335.6,3,14.77,187.25
525,RS,396.5,2,9.98,116.04
526,SP,285.6,1,3.09,140.11
527,MG,321.0,1,3.83,30.25
528,SP,195.2,1,3.55,106.7
529,RS,102.7,2,6.33,120.75
530,SP,433.2,2,23.42,295.92
531,BA,139.3,1,19.19,206.84
532,SP,327.7,2,40.92,81.78
533,BA,510.1,1,71.11,70.18
534,RS,428.7,0,11.6,128.64
535,BA,265.6,1,23.87,126.13
536,RJ,266.5,3,9.98,74.45
537,RS,434.0,1,2.07,258.78
538,RJ,478.6,1,15.99,41.17
539,BA,118.6,2,14.64,152.66
540,RS,82.8,1,1.45,88.55
541,MG,285.1,1,1.47,46.99
542,BA,327.7,3,26.22,153.12
543,RS,240.6,2,1.31,108.93
544,SP,246.3,4,23.66,122.7
545,SP,179.8,2,23.18,215.66
546,MG,269.2,1,4.93,62.1
547,SP,75.8,1,17.04,70.97
548,RS,316.7,3,18.96,39.48
549,RS,396.6,1,12.25,107.72
550,RJ,320.6,0,28.24,140.22
551,RJ,118.1,1,14.26,26.27
552,BA,177.7,1,14.08,18.43
553,MG,273.9,2,9.77,161.58
554,SP,218.2,1,34.73,18.1
555,BA,271.9,1,2.92,155.8
556,BA,288.2,2,12.19,94.47
557,SP,118.1,2,12.8,52.99
558,BA,306.6,3,27.91,241.69
559,MG,760.8,4,10.42,138.86
560,RS,183.9,0,48.52,118.9
561,RS,144.8,2,18.23,246.6
562,BA,281.2,0,0.78,85.21
563,RJ,257.6,0,9.37,58.02
564,RJ,405.1,0,14.71,93.88
565,BA,338.0,1,33.69,50.66
566,SP,410.2,2,9.52,181.03
567,RJ,183.1,0,12.79,163.37
568,MG,399.2,2,11.58,240.11
569,RS,353.4,0,48.9,403.79
570,BA,461.5,0,24.45,227.04
571,RS,494.5,2,22.63,84.8
572,SP,135.7,1,35.54,204.86
573,RJ,122.2,2,21.36,161.54
574,RJ,170.8,0,15.71,71.33
575,BA,501.0,1,39.86,33.66
576,MG,285.7,2,14.73,45.51
577,RJ,86.7,2,4.69,249.24
578,BA,209.2,2,22.09,72.28
579,BA,78.7,1,15.0,149.22
580,RS,675.5,0,7.97,160.48
581,MG,329.5,1,18.28,254.58
582,SP,105.4,3,16.17,129.15
583,RS,301.0,4,10.89,139.16
584,SP,850.1,0,59.19,129.28
585,SP,308.2,1,41.14,86.99
586,BA,91.6,1,27.01,126.5
587,MG,189.0,0,2.88,176.51
588,BA,357.1,2,6.02,158.63
589,SP,597.3,1,13.9,115.3
590,BA,371.9,2,22.55,337.86
591,MG,342.6,3,25.53,133.72
592,RS,114.9,0,5.67,328.14
593,BA,359.5,0,15.71,105.89
594,RS,552.9,2,14.26,111.73
595,BA,138.0,1,9.36,66.83
596,RS,137.0,2,8.43,115.55
597,SP,133.8,0,41.65,222.02
598,BA,301.7,0,2.76,149.4
599,BA,219.3,1,21.57,72.44
600,RJ,604.3,1,5.83,50.25
601,RJ,504.5,0,59.56,119.47
602,BA,353.3,1,3.72,77.41
603,SP,293.6,3,31.32,220.53
604,SP,81.3,1,7.12,65.6
605,RS,206.2,0,7.72,101.85
606,BA,241.3,2,8.16,148.05
607,MG,575.2,4,32.84,71.21
608,BA,246.5,2,13.09,25.8
609,RJ,455.3,2,8.05,196.98
610,BA,313.6,2,9.92,204.61
611,RJ,352.2,2,43.98,116.12
612,MG,186.2,1,4.5,128.7
613,SP,85.9,4,8.57,120.25
614,RJ,389.1,2,4.49,75.04
615,RJ,445.2,0,21.03,300.89
616,MG,57.8,1,10.85,130.48
617,MG,175.6,0,15.02,82.3
618,SP,228.6,3,6.59,111.8
619,RJ,362.8,2,14.18,34.04
620,RS,98.1,1,10.76,31.66
621,MG,703.6,3,13.51,179.44
622,MG,215.0,1,8.7,244.74
623,SP,318.3,2,0.19,103.64
624,RJ,240.3,3,13.27,111.19
625,RS,464.9,3,12.58,47.27
626,MG,370.0,1,5.68,72.5
627,SP,441.7,1,7.75,71.07
628,BA,193.0,1,12.81,319.52
629,BA,303.0,1,27.45,96.11
630,RJ,355.5,1,22.43,183.13
631,SP,794.1,1,16.79,124.29
632,RS,398.7,1,3.56,184.54
633,RJ,247.4,0,26.91,353.28
634,RS,538.5,2,15.28,120.41
635,RJ,169.6,0,15.63,156.61
636,RJ,319.0,0,13.19,186.88
637,BA,307.5,1,23.46,166.56
638,SP,191.0,0,7.54,395.93
639,SP,215.3,1,5.73,248.29
640,BA,326.3,0,11.15,51.27
641,RS,76.0,0,24.01,77.85
642,RS,266.0,2,34.13,269.34
643,SP,49.1,1,24.25,88.13
644,SP,42.7,2,31.21,158.15
645,RJ,428.0,3,14.81,90.97
646,BA,235.0,1,25.34,138.88
647,RS,370.1,2,41.79,76.36
648,RS,303.0,2,15.03,200.82
649,RJ,500.2,2,22.61,86.78
650,RS,219.6,1,21.33,94.08
651,RJ,175.6,2,9.87,516.98
652,SP,202.7,2,29.01,42.68
653,MG,11.7,0,5.61,196.78
654,SP,51.5,1,11.89,135.49
655,BA,376.9,2,14.37,356.85
656,RS,54.1,0,19.33,143.87
657,SP,314.0,2,7.18,140.84
658,SP,364.9,2,15.04,160.9
659,SP,102.9,1,19.65,67.01
660,SP,110.9,1,11.63,67.49
661,MG,92.5,1,13.9,92.84
662,MG,125.5,0,2.72,142.46
663,RS,193.5,2,4.56,190.47
664,MG,149.9,1,6.21,89.59
665,RS,173.3,0,9.69,175.6
666,BA,127.2,0,5.93,260.09
667,RS,616.8,0,20.87,114.42
668,SP,245.4,1,28.73,88.14
669,MG,155.7,1,48.99,80.03
670,RS,111.4,0,4.12,74.92
671,BA,321.4,1,17.92,231.42
672,RJ,243.9,1,51.45,221.89
673,RS,387.8,2,22.72,180.32
674,BA,235.7,4,8.32,80.89
675,SP,357.9,1,21.13,134.45
676,SP,154.4,1,31.92,43.3
677,RJ,60.5,3,39.01,124.32
678,MG,159.5,1,5.33,112.34
679,SP,115.9,2,35.39,129.2
680,SP,120.1,1,15.43,78.67
681,SP,352.0,0,27.99,402.37
682,RJ,305.5,3,7.48,46.44
683,RJ,249.2,1,21.5,37.97
684,RJ,171.9,2,5.87,79.77
685,MG,329.1,0,22.36,89.36
686,BA,209.8,2,23.77,89.47
687,RJ,262.7,0,2.1,78.56
688,MG,362.9,1,19.62,78.42
689,BA,193.9,1,18.0,284.5
690,SP,178.5,0,5.82,421.28
691,RS,432.5,0,17.34,72.08
692,RS,182.7,2,19.41,38.19
693,RJ,225.5,0,9.08,143.24
694,RS,431.7,0,11.81,138.68
695,RJ,204.5,0,14.25,77.6
696,RS,171.0,0,36.82,134.13
697,BA,577.1,1,6.36,67.06
698,RJ,336.0,1,44.1,291.67
699,SP,119.7,3,4.76,91.01
700,RJ,241.6,2,5.67,183.28
701,BA,166.2,2,55.46,142.75
702,RJ,207.6,1,4.89,139.47
703,MG,504.8,0,19.24,229.2
704,SP,66.7,1,18.39,193.67
705,MG,71.4,0,11.58,128.45
706,SP,323.1,0,24.67,147.68
707,RS,157.1,2,20.89,233.8
708,MG,140.3,2,31.7,48.63
709,RS,83.7,1,26.43,96.81
710,SP,502.8,1,26.19,77.43
711,SP,461.4,2,34.59,46.04
712,SP,207.7,1,5.05,18.67
713,MG,155.4,1,11.43,50.17
714,RS,340.8,3,19.58,36.25
715,BA,407.4,2,48.94,176.86
716,MG,285.6,1,4.35,114.57
717,RS,223.9,1,14.86,88.7
718,SP,106.4,1,2.28,200.07
719,SP,263.3,0,62.1,25.88
720,BA,698.6,1,22.66,144.14
721,RS,128.7,4,31.34,70.68
722,RJ,75.0,1,7.42,31.9
723,RJ,213.8,3,29.93,64.44
724,MG,429.5,0,20.6,158.4
725,BA,447.1,1,20.14,37.38
726,RJ,171.3,2,57.29,147.79
